CID,Species,Count,Location,County,State,Date,Start,End,Protocol,Distance
1,Giant Swallowtail,1,Quintana Neotropical Bird Sanctuary,Brazoria,Texas,3/19/2018,9:15 AM,10:30 AM,Stationary,0
1,Monarch,1,Quintana Neotropical Bird Sanctuary,Brazoria,Texas,3/19/2018,9:15 AM,10:30 AM,Stationary,0
2,Strecker's Giant-Skipper,1,CR 193.7,Las Animas,Colorado,4/15/2018,2:10 PM,2:15 PM,Stationary,0
3,Northern Cloudywing,1,CR 10.8,Las Animas,Colorado,4/15/2018,2:30 PM,2:32 PM,Stationary,0
4,Checkered White,1,S. Jenkins Ave,Cleveland,Oklahoma,4/16/2018,5:30 PM,6:00 PM,Stationary,0
4,Orange Sulphur,2,S. Jenkins Ave,Cleveland,Oklahoma,4/16/2018,5:30 PM,6:00 PM,Stationary,0
4,Eastern Tailed-Blue,2,S. Jenkins Ave,Cleveland,Oklahoma,4/29/2018,6:00 PM,7:10 PM,Traveling,0.75
4,Phaon Crescent,1,S. Jenkins Ave,Cleveland,Oklahoma,4/29/2018,6:00 PM,7:10 PM,Traveling,0.75
4,Pearl Crescent,1,S. Jenkins Ave,Cleveland,Oklahoma,4/29/2018,6:00 PM,7:10 PM,Traveling,0.75
4,Silvery Checkerspot,1,S. Jenkins Ave,Cleveland,Oklahoma,4/29/2018,6:00 PM,7:10 PM,Traveling,0.75
4,Spring Azure,1,S. Jenkins Ave,Cleveland,Oklahoma,4/29/2018,6:00 PM,7:10 PM,Traveling,0.75
5,Eastern Tailed-Blue,1,S. Jenkins Ave,Cleveland,Oklahoma,5/2/2018,5:00 PM,6:15 PM,Traveling,0.75
5,Dainty Sulphur,1,S. Jenkins Ave,Cleveland,Oklahoma,5/2/2018,5:00 PM,6:15 PM,Traveling,0.75
5,Silvery Checkerspot,1,S. Jenkins Ave,Cleveland,Oklahoma,5/2/2018,5:00 PM,6:15 PM,Traveling,0.75
5,Silver-spotted Skipper,1,S. Jenkins Ave,Cleveland,Oklahoma,5/2/2018,5:00 PM,6:15 PM,Traveling,0.75
5,Question Mark,2,S. Jenkins Ave,Cleveland,Oklahoma,5/2/2018,5:00 PM,6:15 PM,Traveling,0.75
6,Silvery Checkerspot,3,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Silver-spotted Skipper,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Pearl Crescent,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Dainty Sulphur,2,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Eastern Tiger Swallowtail,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Common Roadside-Skipper,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Clouded Skipper,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
6,Gray Hairstreak,1,Riley Park,Cleveland,Oklahoma,5/3/2018,2:00 PM,4:20 PM,Traveling,1.5
7,Eastern Tailed-Blue,1,Lake Thunderbird SP - Nature Trail,Cleveland,Oklahoma,5/5/2018,4:30 PM,7:15 PM,Traveling,1.5
7,Horace's Duskywing,1,Lake Thunderbird SP - Nature Trail,Cleveland,Oklahoma,5/5/2018,4:30 PM,7:15 PM,Traveling,1.5
7,Southern Cloudywing,1,Lake Thunderbird SP - Nature Trail,Cleveland,Oklahoma,5/5/2018,4:30 PM,7:15 PM,Traveling,1.5
7,Northern Cloudywing,1,Lake Thunderbird SP - Nature Trail,Cleveland,Oklahoma,5/5/2018,4:30 PM,7:15 PM,Traveling,1.5
7,Confused Cloudywing,3,Lake Thunderbird SP - Nature Trail,Cleveland,Oklahoma,5/5/2018,4:30 PM,7:15 PM,Traveling,1.5
