Eversmann's Parnassian	Parnassius eversmanni
Clodius Parnassian	Parnassius clodius
Phoebus Parnassian	Parnassius phoebus
  'Rocky Mountain' Phoebus Parnassian	Parnassius phoebus smintheus
  'Sierra Nevada' Phoebus Parnassian	Parnassius phoebus behrii
White-dotted Cattleheart	Parides alopius
Pipevine Swallowtail	Battus philenor
Polydamas Swallowtail	Battus polydamas
Zebra Swallowtail	Eurytides marcellus
Dark Kite-Swallowtail	Eurytides philolaus
Red-sided Swallowtail	Mimoides phaon
Black Swallowtail	Papilio polyxenes
  'Desert' Black Swallowtail	Papilio polyxenes coloro
Ozark Swallowtail	Papilio joanae
Short-tailed Swallowtail	Papilio brevicauda
Old World Swallowtail	Papilio machaon
  'Baird's' Old World Swallowtail	Papilio machaon bairdii
  'Oregon' Swallowtail	Papilio machaon oregonius
Anise Swallowtail	Papilio zelicaon
Indra Swallowtail	Papilio indra
Chinese Swallowtail	Papilio xuthus
Thoas Swallowtail	Papilio thoas
Giant Swallowtail	Papilio cresphontes
Schaus' Swallowtail	Papilio aristodemus
Bahamian Swallowtail	Papilio andraemon
Ornythion Swallowtail	Papilio ornythion
Broad-banded Swallowtail	Papilio astyalus
Androgeus Swallowtail	Papilio androgeus
Eastern Tiger Swallowtail	Papilio glaucus
Canadian Tiger Swallowtail	Papilio canadensis
Western Tiger Swallowtail	Papilio rutulus
Two-tailed Swallowtail	Papilio multicaudata
Pale Swallowtail	Papilio eurymedon
Three-tailed Swallowtail	Papilio pilumnus
Spicebush Swallowtail	Papilio troilus
Palamedes Swallowtail	Papilio palamedes
Magnificent Swallowtail	Papilio garamas
Victorine Swallowtail	Papilio victorinus
Pink-spotted Swallowtail	Papilio pharnaces
Ruby-spotted Swallowtail	Papilio anchisiades
Mexican Dartwhite	Catasticta nimbice
Pine White	Neophasia menapia
Chiricahua White	Neophasia terlootii
Florida White	Appias drusilla
Becker's White	Pontia beckerii
Spring White	Pontia sisymbrii
Checkered White	Pontia protodice
Western White	Pontia occidentalis
Mustard White	Pieris napi
  'Veined' Mustard White	Pieris napi oleracea
  'Margined' Mustard White	Pieris napi marginalis
West Virginia White	Pieris virginiensis
Cabbage White	Pieris rapae
Great Southern White	Ascia monuste
Giant White	Ganyra josephina
Howarth's White	Ganyra howarthii
Painted White	Pieriballia viardi
Common Melwhite	Melete lycimnia
Cross-barred White	Itaballia demophile
Large Marble	Euchloe ausonides
Green Marble	Euchloe naina
Northern Marble	Euchloe creusa
Sonoran Marble	Euchloe guaymasensis
Pearly Marble	Euchloe hyantis
  'California' Pearly Marble	Euchloe hyantis hyantis
  'Desert' Pearly Marble	Euchloe hyantis lotta
Olympia Marble	Euchloe olympia
Desert Orangetip	Anthocharis cethura
  'Pima' Desert Orangetip	Anthocharis cethura pima
Sara Orangetip	Anthocharis sara (includes thoosa and julia)
  'Pacific' Sara Orangetip	Anthocharis sara sara
  'Stella' Sara Orangetip	Anthocharis sara stella
Falcate Orangetip	Anthocharis midea
Gray Marble	Anthocharis lanceolata
Clouded Sulphur	Colias philodice
Orange Sulphur	Colias eurytheme
Western Sulphur	Colias occidentalis
Colias occidentalis chrysomelas
Colias occidentalis pseudochristina
Christina's Sulphur	Colias christina
Queen Alexandra's Sulphur	Colias alexandra
  'Harford's' Queen Alexandra's Sulphur	Colias alexandra harfordii
